dataelementUID,period,orgUnitUID,categoryOptionComboUID,ImplementingMechanismUID,dataValue,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,2,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,75,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,183,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,161,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,61,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,28,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,3,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,3,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,27,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,25,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,14,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,4,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,0,,
Dp2BluMlYeG,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
wulrt1a1G19,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
wulrt1a1G19,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
wulrt1a1G19,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
wulrt1a1G19,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,2,,
wulrt1a1G19,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,52,,
wulrt1a1G19,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,129,,
wulrt1a1G19,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,105,,
wulrt1a1G19,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,43,,
wulrt1a1G19,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,7,,
wulrt1a1G19,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,1,,
wulrt1a1G19,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
sNyI9S34XE2,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
sNyI9S34XE2,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
sNyI9S34XE2,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
sNyI9S34XE2,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,2,,
